"","date","median","lower","upper","candidate"
"992",2018-01-12,7.25567898302158,4.35566281335789,10.1159074058708,"Zelensky"
"993",2018-01-13,7.24805613125665,4.31309485730166,10.104897836002,"Zelensky"
"994",2018-01-14,7.22197020920162,4.30115085560735,10.0829434959898,"Zelensky"
"995",2018-01-15,7.22324131723339,4.27658698133184,10.1261816681999,"Zelensky"
"996",2018-01-16,7.21256072715744,4.27201191504267,10.1267562969983,"Zelensky"
"997",2018-01-17,7.18557682348973,4.2435545692386,10.1010842402196,"Zelensky"
"998",2018-01-18,7.18765447865073,4.21652811508049,10.101835280253,"Zelensky"
"999",2018-01-19,7.17387147994651,4.1492905220642,10.1257745219341,"Zelensky"
"1000",2018-01-20,7.15970657409419,4.15539010172962,10.0870565775826,"Zelensky"
"1001",2018-01-21,7.15306757327811,4.13939664315074,10.0624453616528,"Zelensky"
"1002",2018-01-22,7.14706562262805,4.13709592762383,10.0725464108763,"Zelensky"
"1003",2018-01-23,7.1305868895769,4.09012298801422,10.093591303559,"Zelensky"
"1004",2018-01-24,7.10652270012218,4.05960968775633,10.0834673093191,"Zelensky"
"1005",2018-01-25,7.09362977217565,4.03078321772382,10.0458253877021,"Zelensky"
"1006",2018-01-26,7.08947843634826,4.01158391992091,10.0547307103058,"Zelensky"
"1007",2018-01-27,7.07206205278365,4.02128319055061,10.0761673251829,"Zelensky"
"1008",2018-01-28,7.06389445959917,3.99744898406303,10.0534228234587,"Zelensky"
"1009",2018-01-29,7.02878904822533,3.94878917559099,10.058161751227,"Zelensky"
"1010",2018-01-30,7.03439299483427,3.96381713226133,10.040894771153,"Zelensky"
"1011",2018-01-31,7.02154865296128,3.94394606941218,10.0534970300299,"Zelensky"
"1012",2018-02-01,7.00332925616281,3.90414642557191,10.014511853008,"Zelensky"
"1013",2018-02-02,6.99186290023493,3.88548984204075,10.0060797261093,"Zelensky"
"1014",2018-02-03,6.97293666403984,3.8911501685904,10.0125232186574,"Zelensky"
"1015",2018-02-04,6.96128996959629,3.88778182428308,9.98767905129447,"Zelensky"
"1016",2018-02-05,6.94554556970119,3.88043974914461,9.99256362504794,"Zelensky"
"1017",2018-02-06,6.9349462017518,3.87278991056882,9.97318266727959,"Zelensky"
"1018",2018-02-07,6.93277517524501,3.89651879561233,9.94766981005869,"Zelensky"
"1019",2018-02-08,6.92616439623736,3.86686365844209,9.92076525984806,"Zelensky"
"1020",2018-02-09,6.91364445243133,3.88119581658133,9.95540951285269,"Zelensky"
"1021",2018-02-10,6.89595544675776,3.85680997215232,9.87968640102632,"Zelensky"
"1022",2018-02-11,6.89189254507717,3.85378513102727,9.89868136799805,"Zelensky"
"1023",2018-02-12,6.8672541948624,3.8484772608663,9.88501838719313,"Zelensky"
"1024",2018-02-13,6.86264845728377,3.83627318652913,9.82522187546728,"Zelensky"
